year,combo,combo_label,count,mean,p90,p95,share_ge_24,share_ge_27,share_ge_29
2016,KhoiA,A00,247718,17.2509,22.35,23.6,0.039476340031810365,0.0018609870901589711,8.073696703509636e-06
2016,KhoiA02,A02,46372,16.4098,21.55,22.85,0.024368153195894075,0.0007763305442939705,2.156473734149918e-05
2016,KhoiA1,A01,292733,15.1278,19.85,21.35,0.009752914772164396,0.00029378307194610786,0.0
2016,KhoiB,B00,107854,15.9014,22.0,23.55,0.039164055111539677,0.0024755688245220392,9.271793350269808e-06
2016,KhoiC,C00,120729,15.1338,20.75,22.25,0.020343082440838572,0.0006295090657588483,0.0
2016,KhoiC01,C01,331666,16.2794,20.6,21.6,0.00448041101590154,1.5075407186748114e-05,0.0
2016,KhoiD,D01/D00,652658,13.0007,17.63,19.5,0.0035608235860128887,4.136929295281755e-05,0.0
2016,KhoiD07,D07,246080,14.1314,18.53,19.93,0.00297870611183355,3.250975292587776e-05,0.0
2017,KhoiA,A00,399730,16.8983,23.3,24.85,0.07573612188227054,0.012063142621269356,0.0005803917644409977
2017,KhoiA02,A02,386050,16.3018,21.5,22.6,0.018153088978111645,0.0009117989897681648,2.849371843025515e-05
2017,KhoiA1,A01,373078,16.5641,22.5,24.05,0.051514696658607584,0.005443901811417452,0.00012061820852475889
2017,KhoiB,B00,391741,16.3198,22.1,23.8,0.04646437314450109,0.010044902116449388,0.0009342907686456102
2017,KhoiC,C00,488702,16.2279,21.0,22.5,0.024984550912416973,0.0017863646966863242,1.0231183829818581e-05
2017,KhoiC01,C01,383386,17.1594,22.05,23.1,0.02332375204102393,0.00018258361025180888,0.0
2017,KhoiD,D01/D00,736163,15.4398,21.15,22.85,0.026696533240600246,0.0010513975845023453,0.0
2017,KhoiD07,D07,370307,16.5131,22.35,23.75,0.043747485194716815,0.004504370697826398,0.00018903234343396156
2018,KhoiA,A00,382471,15.5675,20.25,21.55,0.008251606004115345,0.00013595802034664065,2.614577314358474e-06
2018,KhoiA02,A02,376499,15.2408,19.15,20.1,0.0006746365860201488,5.3120991025208565e-06,0.0
2018,KhoiA1,A01,368244,15.0465,19.65,21.05,0.006156244229369657,7.060535948990343e-05,0.0
2018,KhoiB,B00,381629,15.1504,19.2,20.5,0.0042004145387274025,0.00011005452939897125,7.861037814212233e-06
2018,KhoiC,C00,548491,14.5885,18.75,20.25,0.00571568175229858,0.0001513242696780804,0.0
2018,KhoiC01,C01,374342,16.241,20.1,21.05,0.0017497368716307548,0.0,0.0
2018,KhoiD,D01/D00,811675,14.4792,19.0,20.45,0.003130563341238796,6.160101025656821e-06,0.0
2018,KhoiD07,D07,365064,14.9412,19.2,20.4,0.0026214581552823613,2.7392457212981835e-05,0.0
2019,KhoiA,A00,333171,17.7295,22.35,23.4,0.03232574263666405,0.0010024882117591267,3.001461711853673e-06
2019,KhoiA02,A02,328281,17.057,20.95,21.85,0.005933940739793043,7.920044108553343e-05,0.0
2019,KhoiA1,A01,321655,17.3836,22.3,23.6,0.03898897887488147,0.001563787287621831,0.0
2019,KhoiB,B00,333696,16.8469,20.9,22.1,0.01538226409666283,0.0011087936325278097,1.1986958189489835e-05
2019,KhoiC,C00,562249,15.6404,20.0,21.25,0.010232121355484847,0.00035749285458933674,0.0
2019,KhoiC01,C01,326617,18.0535,21.8,22.6,0.010020911342642913,6.123379983283173e-06,0.0
2019,KhoiD,D01/D00,788567,15.7735,20.95,22.35,0.016011321802713023,0.00011539919879984834,0.0
2019,KhoiD07,D07,320430,17.1591,21.65,22.8,0.019604905907686546,0.0004681209624566988,9.362419249133976e-06
2020,KhoiA,A00,295539,21.447,25.3,26.05,0.236513624259404,0.016332869773532425,0.00021993713181678223
2020,KhoiA02,A02,290345,20.3427,23.55,24.3,0.06892834386677918,0.0009884792229933356,6.88835695465739e-06
2020,KhoiA1,A01,287803,20.0581,24.25,25.3,0.11801127854817357,0.007685812865050052,2.4322192610917885e-05
2020,KhoiB,B00,294560,20.3411,24.05,25.1,0.10633826724606192,0.010992667028788702,0.0005771319934818034
2020,KhoiC,C00,560766,18.4631,22.75,24.0,0.05190221946409019,0.0038304747434758884,1.6049475182161545e-05
2020,KhoiC01,C01,288457,21.5638,24.5,25.1,0.1654215359654992,0.0010192160356656279,0.0
2020,KhoiD,D01/D00,778030,18.1709,23.1,24.35,0.06423017107309487,0.002493477115278331,1.2852974821022326e-06
