year,exam_type,birth_month,count,mean_total_score,median_total_score,min,max
2013,CD,1.0,11156,13.1692,12.75,0.0,30.75
2013,CD,2.0,11057,13.0264,12.5,0.0,29.0
2013,CD,3.0,10463,12.8895,12.5,0.0,42.75
2013,CD,4.0,10463,12.9964,12.5,0.0,29.5
2013,CD,5.0,10721,12.9012,12.5,0.0,29.25
2013,CD,6.0,10651,12.9469,12.5,0.0,29.75
2013,CD,7.0,10995,13.0418,12.75,0.0,29.75
2013,CD,8.0,13941,13.1085,12.75,0.0,30.25
2013,CD,9.0,12961,13.1334,12.75,0.0,29.75
2013,CD,10.0,14760,13.1397,12.75,0.0,29.5
2013,CD,11.0,11551,13.2859,13.0,0.0,35.75
2013,CD,12.0,10803,13.202,12.75,0.0,40.25
2013,DH,1.0,70554,13.056,12.75,0.0,32.0
2013,DH,2.0,68430,12.9848,12.75,0.0,42.5
2013,DH,3.0,64612,12.9396,12.75,0.0,35.0
2013,DH,4.0,64085,12.8986,12.5,0.0,42.0
2013,DH,5.0,65212,12.84,12.5,0.0,37.25
2013,DH,6.0,64313,12.825,12.5,0.0,39.0
2013,DH,7.0,65498,12.8701,12.5,0.0,35.0
2013,DH,8.0,84527,12.8542,12.5,0.0,34.5
2013,DH,9.0,78896,12.9254,12.5,0.0,35.75
2013,DH,10.0,89688,12.9398,12.75,-0.1,38.75
2013,DH,11.0,71255,13.0316,12.75,0.0,34.25
2013,DH,12.0,67178,12.9617,12.75,0.0,39.0
2014,DH,1.0,83761,13.9799,14.0,0.0,29.25
2014,DH,2.0,79669,13.8146,13.75,0.0,28.5
2014,DH,3.0,73994,13.8677,13.75,0.0,28.5
2014,DH,4.0,73479,13.8061,13.75,0.0,28.5
2014,DH,5.0,73195,13.7937,13.75,0.0,28.5
2014,DH,6.0,76476,13.6877,13.5,0.0,28.75
2014,DH,7.0,74516,13.7827,13.75,0.0,29.25
2014,DH,8.0,89939,13.7733,13.75,0.0,29.0
2014,DH,9.0,91536,13.8231,13.75,0.0,29.25
2014,DH,10.0,100753,13.8369,13.75,0.0,29.0
2014,DH,11.0,89783,13.9721,14.0,0.25,28.75
2014,DH,12.0,78505,13.9566,13.75,0.0,28.5
