name_part_type,year,exam_type,name_part,count,mean_total_score,median_total_score,p25_total_score,p75_total_score,max_total_score
family_name,2013,CD,A,151,8.5331,8.0,6.375,10.5,22.25
family_name,2013,CD,An,45,16.0333,15.25,12.75,18.75,28.75
family_name,2013,CD,Anh,561,17.6627,17.5,14.0,21.25,30.0
family_name,2013,CD,Biện,38,12.8421,11.875,7.4375,17.5,24.75
family_name,2013,CD,BÙI,64,12.2305,11.625,8.375,15.0,27.0
family_name,2013,CD,Bàn,99,11.031,10.25,7.625,14.25,22.5
family_name,2013,CD,Bùi,4967,13.4095,13.0,9.75,16.5,29.25
family_name,2013,CD,Bạc,42,9.4643,9.5,7.75,11.1875,15.0
family_name,2013,CD,Bạch,147,13.2721,12.75,9.75,15.5,28.25
family_name,2013,CD,Bế,54,11.2015,10.75,8.75,14.25,20.5
family_name,2013,CD,Cao,1246,13.3341,13.0,9.75,16.75,28.0
family_name,2013,CD,Chi,63,16.3571,16.0,12.75,20.0,28.75
family_name,2013,CD,Chu,568,13.5678,13.25,10.25,16.5,26.25
family_name,2013,CD,Chung,56,13.6339,12.875,10.4375,16.0,27.75
family_name,2013,CD,Châu,461,13.4935,12.75,10.0,16.75,29.25
family_name,2013,CD,Chế,43,11.6628,11.5,7.75,14.875,27.25
family_name,2013,CD,Cà,175,9.3743,8.25,7.0,11.625,19.25
family_name,2013,CD,Cù,76,13.1546,13.0,10.1875,14.875,25.75
family_name,2013,CD,Cấn,43,13.1802,12.75,9.75,15.625,23.5
family_name,2013,CD,Cầm,79,9.6076,9.25,7.125,12.25,19.5
family_name,2013,CD,Danh,72,10.9722,10.5,8.25,12.5625,23.5
family_name,2013,CD,Diệp,153,13.5343,13.25,10.25,16.25,28.5
family_name,2013,CD,Doãn,83,14.494,14.25,11.25,17.375,25.5
family_name,2013,CD,Dung,126,16.631,17.0,12.75,20.0,29.25
family_name,2013,CD,Duyên,39,15.609,14.25,12.5,19.125,24.0
family_name,2013,CD,DƯƠNG,31,12.2742,11.25,8.125,15.0,23.5
family_name,2013,CD,Dư,40,13.9938,13.625,10.5625,17.3125,24.0
family_name,2013,CD,Dương,2499,13.2649,12.75,9.5,16.5,29.75
family_name,2013,CD,Giang,177,15.9236,15.75,12.25,20.0,29.5
family_name,2013,CD,Giàng,268,10.0177,9.25,7.25,12.5625,21.5
family_name,2013,CD,Giáp,82,14.3811,14.25,11.625,17.5,23.5
family_name,2013,CD,H,41,9.2927,8.0,6.5,10.0,20.0
family_name,2013,CD,HOÀNG,31,11.0806,9.75,7.5,13.625,22.5
family_name,2013,CD,HUỲNH,109,12.633,11.5,9.25,15.5,24.75
family_name,2013,CD,Hiền,125,16.574,16.25,13.5,20.0,28.25
family_name,2013,CD,Hoa,144,15.9201,16.0,12.6875,18.8125,26.25
family_name,2013,CD,Hoàng,5143,12.7707,12.25,9.25,16.0,29.25
family_name,2013,CD,Huyền,259,16.4633,16.25,12.5,20.25,28.75
family_name,2013,CD,Huệ,39,14.8782,13.5,11.25,17.125,29.25
family_name,2013,CD,Huỳnh,4470,12.9442,12.5,9.25,16.25,29.0
family_name,2013,CD,Hà,1951,13.2884,13.0,9.5,16.5,29.0
family_name,2013,CD,Hàng,34,11.0662,10.0,7.3125,14.0625,22.5
family_name,2013,CD,Hán,31,11.0726,10.25,7.25,14.375,23.25
family_name,2013,CD,Hương,225,16.1,15.75,12.5,19.5,29.0
family_name,2013,CD,Hường,73,16.5411,17.0,13.0,18.25,29.25
family_name,2013,CD,Hạ,30,12.9083,12.0,10.5625,14.9375,26.25
family_name,2013,CD,Hạng,30,8.8167,7.75,6.75,10.9375,15.0
family_name,2013,CD,Hạnh,121,15.9979,15.5,12.25,19.5,28.75
family_name,2013,CD,Hải,45,16.4833,15.5,12.75,20.25,27.5
family_name,2013,CD,Hằng,196,17.4566,17.0,14.4375,20.25,28.5
family_name,2013,CD,HỒ,47,12.3298,12.25,9.125,15.125,22.75
family_name,2013,CD,Hồ,2928,13.124,12.75,9.25,16.5,32.0
family_name,2013,CD,Hồng,123,14.9654,14.75,11.375,18.5,28.75
family_name,2013,CD,Hờ,35,9.4929,8.25,7.0,11.5,18.25
family_name,2013,CD,Hứa,202,13.0903,12.25,9.5,16.25,27.0
family_name,2013,CD,Ka,62,11.0685,11.375,9.5,12.5,18.0
family_name,2013,CD,Khuất,46,12.5924,11.75,9.75,14.5,22.75
family_name,2013,CD,Khúc,38,14.0921,14.375,10.4375,18.25,24.25
family_name,2013,CD,Khương,48,15.1927,15.125,11.9375,18.3125,23.5
family_name,2013,CD,Khổng,83,14.3599,14.0,10.75,17.875,27.25
family_name,2013,CD,Kim,96,12.9193,12.25,9.25,15.75,25.5
family_name,2013,CD,Kiều,306,13.6806,13.25,10.0625,16.75,29.75
family_name,2013,CD,La,213,11.9323,11.5,8.5,15.0,28.0
family_name,2013,CD,Lan,87,16.1954,15.75,12.625,19.375,28.25
family_name,2013,CD,Linh,416,17.3772,18.0,13.75,21.0,29.5
family_name,2013,CD,Liên,58,16.8405,16.75,13.125,20.25,28.0
family_name,2013,CD,Liêu,45,11.8944,11.25,7.25,15.25,23.0
family_name,2013,CD,Loan,60,16.4542,16.5,13.25,20.0,27.0
family_name,2013,CD,Long,31,13.6935,12.5,8.875,18.25,29.25
family_name,2013,CD,Ly,136,14.2114,13.75,8.4375,19.8125,27.75
family_name,2013,CD,LÊ,257,11.5156,10.75,8.25,14.25,27.75
family_name,2013,CD,Lâm,800,12.8319,12.5,9.1875,15.75,27.5
family_name,2013,CD,Lã,100,14.2852,13.75,11.25,18.0,26.75
family_name,2013,CD,Lê,15998,13.3295,13.0,9.75,16.5,82.0
family_name,2013,CD,Lò,1397,9.6328,9.25,7.0,11.75,25.5
family_name,2013,CD,Lô,61,11.9262,11.0,7.75,17.0,23.75
family_name,2013,CD,Lù,131,9.4504,8.75,6.25,12.0,22.5
family_name,2013,CD,Lý,899,12.3987,11.75,8.75,15.5,28.25
family_name,2013,CD,Lăng,38,11.9145,11.625,9.3125,14.125,22.5
family_name,2013,CD,Lư,53,12.8585,11.75,10.0,15.25,26.5
family_name,2013,CD,Lưu,901,13.5877,13.25,9.75,16.75,29.75
family_name,2013,CD,Lương,1330,13.1024,13.0,9.75,16.0,28.25
family_name,2013,CD,Lường,437,10.1802,9.5,7.25,12.75,22.0
family_name,2013,CD,Lại,283,14.1431,13.75,10.625,17.5,28.0
family_name,2013,CD,Lầu,78,9.5128,9.25,7.0,11.5,22.5
family_name,2013,CD,Lộc,61,12.611,11.75,8.75,16.25,27.25
family_name,2013,CD,Lục,145,11.5502,11.0,8.5,14.5,23.75
family_name,2013,CD,Lữ,120,13.3583,13.0,9.6875,16.3125,25.5
family_name,2013,CD,Ma,189,10.9549,10.5,7.75,13.68,24.75
family_name,2013,CD,Mai,1721,13.3954,13.0,9.75,16.5,29.0
family_name,2013,CD,Minh,50,17.585,17.75,13.4375,20.9375,28.25
family_name,2013,CD,My,82,17.5488,17.125,14.8125,21.0,26.0
family_name,2013,CD,Mã,104,11.9639,11.5,8.75,14.3125,22.5
family_name,2013,CD,Mùa,107,8.9299,8.0,6.625,9.75,21.25
family_name,2013,CD,Mùi,47,10.8989,10.0,7.25,13.625,21.75
family_name,2013,CD,Mạc,101,13.1188,12.75,9.75,15.5,24.75
family_name,2013,CD,NGUYỄN,796,11.9689,11.25,8.75,14.5,28.0
family_name,2013,CD,NGÔ,48,12.1667,11.375,9.5,14.8125,21.5
family_name,2013,CD,Nga,140,16.0875,15.75,12.25,20.0625,28.5
family_name,2013,CD,Nghiêm,117,14.5791,14.25,11.25,17.5,27.25
family_name,2013,CD,Nguyen,100,16.84,17.0,15.0,18.25,26.5
family_name,2013,CD,Nguyễn,57771,13.4303,13.0,10.0,16.5,42.75
family_name,2013,CD,Nguyệt,30,15.4667,14.75,12.1875,18.8125,26.0
