year,subject,subject_label,count_10,mean_other_scores,other_score_attempts
2026,CongNgheCongNghiep,Công nghệ công nghiệp,40,6.6425,120
2026,CongNgheNongNghiep,Công nghệ nông nghiệp,44,6.4012,131
2026,DiaLy,Địa lí,56,7.9181,160
2026,HoaHoc,Hóa học,412,8.5235,1224
2026,KinhTePhapLuat,Kinh tế và pháp luật,2,7.75,6
2026,LichSu,Lịch sử,2465,7.1416,7233
2026,NgoaiNgu,Ngoại ngữ,361,7.6667,1080
2026,SinhHoc,Sinh học,129,8.5123,383
2026,TinHoc,Tin học,25,7.976,73
2026,Toan,Toán,4208,7.9313,12487
2026,VatLy,Vật lí,189,8.3825,560
