year,province_code,province_name,region,subject,subject_label,count,mean,std,share_ge_8,share_ge_10,share_lt_5
2017,1,Hà Nội,Miền Bắc,DiaLy,Địa lí,45683,6.1574,1.4237,0.11238316222664886,0.0010069391239629622,0.1868090974760852
2017,1,Hà Nội,Miền Bắc,GDCD,GDCD,40486,7.6097,0.9989,0.42970409524279995,0.0002469989626043571,0.011559551449883911
2017,1,Hà Nội,Miền Bắc,HoaHoc,Hóa học,33753,5.1742,2.1579,0.14238734334725803,0.0056291292625840665,0.5025923621604006
2017,1,Hà Nội,Miền Bắc,LichSu,Lịch sử,47178,4.3637,1.4953,0.026940523125185467,2.1196320318792658e-05,0.6788333545296537
2017,1,Hà Nội,Miền Bắc,NgoaiNgu,Ngoại ngữ,63330,5.0075,2.2782,0.16505605558187272,0.004484446549818412,0.5781777988315174
2017,1,Hà Nội,Miền Bắc,NguVan,Ngữ văn,69829,6.0821,1.5291,0.1261653467756949,0.0,0.20911082787953428
2017,1,Hà Nội,Miền Bắc,SinhHoc,Sinh học,32291,4.394,1.4555,0.03437490322380849,0.001052924963612152,0.7005976897587564
2017,1,Hà Nội,Miền Bắc,Toan,Toán,71810,5.5866,2.0993,0.1738198022559532,0.0005988023952095808,0.40818827461356355
2017,1,Hà Nội,Miền Bắc,VatLy,Vật lí,33779,5.415,1.995,0.12537375292341396,0.0003848544953965482,0.41576127179608635
2017,10,Lạng Sơn,Miền Bắc,DiaLy,Địa lí,7248,6.2758,1.5199,0.1571467991169978,0.0012417218543046358,0.18267108167770418
2017,10,Lạng Sơn,Miền Bắc,GDCD,GDCD,6179,7.7687,1.0208,0.516102929276582,0.0001618384851917786,0.010033986081890274
2017,10,Lạng Sơn,Miền Bắc,HoaHoc,Hóa học,1425,5.0793,1.8461,0.08491228070175438,0.0014035087719298245,0.49894736842105264
2017,10,Lạng Sơn,Miền Bắc,LichSu,Lịch sử,7437,4.6174,1.5854,0.03993545784590561,0.0001344628210299852,0.617722199811752
2017,10,Lạng Sơn,Miền Bắc,NgoaiNgu,Ngoại ngữ,7368,3.5664,1.3375,0.02280130293159609,0.0002714440825190011,0.8862649294245385
2017,10,Lạng Sơn,Miền Bắc,NguVan,Ngữ văn,8553,6.6652,1.5059,0.2378112942827078,0.0,0.14193850111072137
2017,10,Lạng Sơn,Miền Bắc,SinhHoc,Sinh học,1301,4.8278,1.4423,0.030745580322828592,0.0,0.5480399692544197
2017,10,Lạng Sơn,Miền Bắc,Toan,Toán,8589,3.9178,1.6019,0.029572709279310747,0.00011642798928862498,0.7825125160088485
2017,10,Lạng Sơn,Miền Bắc,VatLy,Vật lí,1398,5.1363,1.7081,0.06294706723891273,0.0,0.46065808297567956
2017,11,Bắc Kạn,Miền Bắc,DiaLy,Địa lí,2343,6.3163,1.494,0.15492957746478872,0.0012804097311139564,0.17328211694408877
2017,11,Bắc Kạn,Miền Bắc,GDCD,GDCD,2006,7.9356,0.9943,0.5807577268195414,0.0009970089730807576,0.007477567298105683
2017,11,Bắc Kạn,Miền Bắc,HoaHoc,Hóa học,562,4.3336,1.6586,0.03558718861209965,0.0017793594306049821,0.6743772241992882
2017,11,Bắc Kạn,Miền Bắc,LichSu,Lịch sử,2459,4.8049,1.5976,0.054087027246848315,0.00040666937779585197,0.5827572183814559
2017,11,Bắc Kạn,Miền Bắc,NgoaiNgu,Ngoại ngữ,2321,3.5546,1.2557,0.015510555794915984,0.0,0.8948728996122362
2017,11,Bắc Kạn,Miền Bắc,NguVan,Ngữ văn,2763,6.2707,1.5512,0.16178067318132464,0.0,0.18313427433948606
2017,11,Bắc Kạn,Miền Bắc,SinhHoc,Sinh học,526,4.5585,1.3243,0.015209125475285171,0.0,0.6254752851711026
2017,11,Bắc Kạn,Miền Bắc,Toan,Toán,2778,3.772,1.4874,0.020158387329013677,0.0,0.8128149748020158
2017,11,Bắc Kạn,Miền Bắc,VatLy,Vật lí,545,4.3642,1.5141,0.02018348623853211,0.0,0.6605504587155964
2017,12,Thái Nguyên,Miền Bắc,DiaLy,Địa lí,9602,6.1621,1.4815,0.12486981878775255,0.0023953343053530513,0.1960008331597584
2017,12,Thái Nguyên,Miền Bắc,GDCD,GDCD,8518,7.6179,1.013,0.4400093918760272,0.00023479690068091102,0.012561634186428739
2017,12,Thái Nguyên,Miền Bắc,HoaHoc,Hóa học,6218,4.5668,2.0368,0.08764876165969765,0.0014474107430041815,0.6254422643936958
2017,12,Thái Nguyên,Miền Bắc,LichSu,Lịch sử,9843,4.4297,1.547,0.0358630498831657,0.0,0.6701208981001727
2017,12,Thái Nguyên,Miền Bắc,NgoaiNgu,Ngoại ngữ,11445,3.7834,1.4729,0.027959807776321538,0.0006989951944080385,0.8327653997378768
