year,subject,subject_label,count,mean,std,min,p05,p25,median,p75,p95,max,p90,share_ge_8,share_ge_9,share_ge_10,count_10,share_lt_5,share_le_1,skew,excess_kurtosis,normality_distance
2016,DiaLy,Địa lí,430241,5.4324,1.4386,0.0,3.0,4.5,5.5,6.5,7.75,10.0,7.25,0.04277137697244103,0.006440576328150966,2.0918508463860953e-05,9,0.3399931666205685,0.001564239577353158,-0.0816,-0.0913,0.17295077081168025
2016,HoaHoc,Hóa học,341947,5.3758,1.4486,0.0,3.0,4.4,5.4,6.4,7.8,10.0,7.2,0.041132105267775415,0.0043252316879516415,4.386644713946898e-05,15,0.3781550942105063,0.00030706512997628286,0.0273,-0.4086,0.43597197395935267
2016,LichSu,Lịch sử,126473,4.5005,1.944,0.0,1.5,3.0,4.5,6.0,7.75,10.0,7.0,0.04303685371581286,0.007321720841602555,3.953412981426866e-05,5,0.5601986194681868,0.017901053979900848,0.1024,-0.7228,0.8251939334277617
2016,NgoaiNgu,Ngoại ngữ,659527,3.2274,1.4406,0.0,1.88,2.25,2.75,3.65,6.45,10.0,5.28,0.014807581797257732,0.0031841001202376853,2.577604859240031e-05,17,0.882747787429476,0.0006929208356898202,1.7236,2.9787,4.702337468456226
2016,NguVan,Ngữ văn,833775,4.9191,1.4118,0.0,2.5,4.0,5.0,6.0,7.25,9.5,6.75,0.016462474888309195,0.0005241222152259303,0.0,0,0.46115918563161523,0.0015591736379718748,-0.0919,-0.2485,0.3403735843734883
2016,SinhHoc,Sinh học,152465,4.9087,1.5587,0.0,2.6,3.8,4.6,6.0,7.8,10.0,7.2,0.042016200439445116,0.00636867477781786,3.935329419866855e-05,6,0.5470107893614928,0.0006362115895451415,0.4358,-0.3539,0.7897114590167167
2016,Toan,Toán,851995,4.4378,1.93,0.0,1.5,3.0,4.25,6.0,7.5,10.0,7.0,0.036408664370096065,0.006385013996561013,9.3897264655309e-06,8,0.5807240652820732,0.017309960739206216,0.1202,-0.7764,0.8966278764585429
2016,VatLy,Vật lí,363017,5.9551,1.459,0.0,3.4,5.0,6.2,7.0,8.2,10.0,7.8,0.07357782142434101,0.006939068969221827,3.856568700639364e-05,14,0.23717622039739186,0.00021211127853516503,-0.3769,-0.3181,0.6950022755101002
2017,DiaLy,Địa lí,489905,6.2608,1.4712,0.0,3.75,5.25,6.25,7.25,8.5,10.0,8.25,0.13704901970790256,0.031155019850787398,0.0012247272430369154,600,0.17551566119962034,0.0010185648237923679,-0.2278,-0.0201,0.2478178436945247
2017,GDCD,GDCD,426960,7.7922,1.0373,0.0,6.0,7.25,8.0,8.5,9.25,10.0,9.0,0.5225360689525951,0.12959293610642683,0.0005808506651676972,248,0.011804384485666104,0.0003396102679407907,-1.0067,2.3962,3.402917125589556
2017,HoaHoc,Hóa học,405930,5.3292,1.9346,0.0,2.5,3.75,5.25,6.75,8.75,10.0,8.0,0.11634764614588722,0.041746113861995914,0.0036829009927820066,1495,0.4466188751755229,0.0020717857758726873,0.2417,-0.6798,0.9214733449290959
2017,LichSu,Lịch sử,504240,4.5967,1.5401,0.0,2.5,3.5,4.5,5.5,7.5,10.0,6.75,0.03448952879581152,0.008484055211803903,0.00021220053942567032,107,0.6182869268602252,0.0016638902110106299,0.5766,0.1702,0.7467922007343422
